feature,category,dtype,missing_rate,unique_values
Division,excluded,str,0.0,1
MatchDate,excluded,str,0.0,402
KickoffTime,excluded,str,0.0,11
HomeTeam,excluded,str,0.0,25
AwayTeam,excluded,str,0.0,25
FullTimeHomeGoals,excluded,int64,0.0,10
FullTimeAwayGoals,excluded,int64,0.0,9
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,int64,0.0,6
HalfTimeAwayGoals,excluded,int64,0.0,6
HalfTimeResult,excluded,str,0.0,3
HomeShots,excluded,int64,0.0,40
AwayShots,excluded,int64,0.0,34
HomeShotsOnTarget,excluded,int64,0.0,21
AwayShotsOnTarget,excluded,int64,0.0,16
HomeFouls,excluded,int64,0.0,24
AwayFouls,excluded,int64,0.0,24
HomeCorners,excluded,int64,0.0,20
AwayCorners,excluded,int64,0.0,16
HomeYellowCards,excluded,int64,0.0,7
AwayYellowCards,excluded,int64,0.0,8
HomeRedCards,excluded,int64,0.0,3
AwayRedCards,excluded,int64,0.0,3
B365H,market,float64,0.0,106
B365D,market,float64,0.0,35
B365A,market,float64,0.0,102
BWH,market,float64,0.0932806324110672,144
BWD,market,float64,0.0932806324110672,48
BWA,market,float64,0.0932806324110672,149
IWH,market,float64,0.6442687747035574,98
IWD,market,float64,0.6442687747035574,50
IWA,market,float64,0.6442687747035574,110
PSH,market,float64,0.16205533596837945,422
PSD,market,float64,0.16205533596837945,387
PSA,market,float64,0.16205533596837945,584
WHH,market,float64,0.33280632411067196,106
WHD,market,float64,0.33280632411067196,36
WHA,market,float64,0.33280632411067196,103
VCH,market,float64,0.51699604743083,106
VCD,market,float64,0.51699604743083,38
VCA,market,float64,0.51699604743083,103
MaxH,market,float64,0.0,301
MaxD,market,float64,0.0,184
MaxA,market,float64,0.0,340
AvgH,market,float64,0.0,433
AvgD,market,float64,0.0,381
AvgA,market,float64,0.0,635
B365>2.5,market,float64,0.0,52
B365<2.5,market,float64,0.0,46
P>2.5,market,float64,0.16205533596837945,110
P<2.5,market,float64,0.16205533596837945,226
Max>2.5,market,float64,0.0,111
Max<2.5,market,float64,0.0,168
Avg>2.5,market,float64,0.0,107
Avg<2.5,market,float64,0.0,219
AHh,market,float64,0.0007905138339920949,25
B365AHH,market,float64,0.0015810276679841897,39
B365AHA,market,float64,0.0015810276679841897,39
PAHH,market,float64,0.16205533596837945,43
PAHA,market,float64,0.16205533596837945,43
MaxAHH,market,float64,0.0,43
MaxAHA,market,float64,0.0,47
AvgAHH,market,float64,0.0,40
AvgAHA,market,float64,0.0,48
B365CH,market,str,0.0,123
B365CD,market,float64,0.0,38
B365CA,market,float64,0.0,101
BWCH,market,float64,0.09407114624505929,149
BWCD,market,float64,0.09407114624505929,53
BWCA,market,float64,0.09407114624505929,154
IWCH,market,float64,0.6442687747035574,109
IWCD,market,float64,0.6442687747035574,52
IWCA,market,float64,0.6442687747035574,113
PSCH,market,float64,0.16205533596837945,422
PSCD,market,float64,0.16205533596837945,390
PSCA,market,float64,0.16205533596837945,603
WHCH,market,float64,0.33280632411067196,108
